subject,gender,trial,shift,max_response,mean_response,slope,p_value
3,F,118,-1,146.197557,84.37559139,0.291517528,0
3,F,119,1,39.87850848,25.37332728,-0.144834662,0
3,F,120,-1,43.32621424,25.5036528,0.123581828,0
3,F,121,2,45.66402464,16.79031962,-0.184265671,0
3,F,122,0,19.89307291,9.57462523,0.077756673,0
3,F,123,-2,72.6849859,48.76613255,0.009989797,0.021645134
3,F,124,1,46.48937141,27.28674318,-0.026700726,1.44179E-07
3,F,125,-1,25.88772784,12.02952433,-0.033801896,0
3,F,126,0,28.08158656,10.12923999,-0.020552779,1.50157E-06
3,F,127,2,41.36831174,30.9008945,-0.166327705,0
3,F,128,-2,36.08094905,14.48539943,0.008797054,0.000229539
3,F,129,-2,45.50674971,23.09678441,0.008565216,0.355884998
3,F,130,-1,36.0002025,20.64037625,0.029207329,2.40874E-07
3,F,131,2,40.31016122,24.14598839,-0.177824174,0
3,F,132,1,34.3171829,21.83544642,-0.053283417,0
3,F,133,0,28.80595873,22.03934846,0.044077794,0
3,F,134,-1,25.57225881,14.22647548,-0.013759077,0.000259352
3,F,135,2,33.85478024,28.19626336,-0.182538955,0
3,F,136,0,40.13464071,13.06434359,-0.007317363,0.049553151
3,F,137,-2,36.01430524,15.03980281,0.024368399,1.17774E-07
3,F,138,1,19.03927439,7.385828209,-0.079703022,0
3,F,139,1,51.070823,15.37074038,-0.107802513,0
3,F,140,-1,27.14892721,9.24569969,0.069250544,0
3,F,141,0,54.23300164,37.46113183,0.093535599,0
3,F,142,2,52.00754624,39.57046963,-0.269368143,0
3,F,143,-2,36.32166728,11.2247139,0.128846339,0
4,M,1,-2,32.04659845,19.65403547,0.068441282,0
4,M,2,2,51.2043563,26.48852827,-0.015097793,0.00023991
4,M,3,0,26.16501788,12.15660879,-0.11982118,0
4,M,4,1,30.4809682,13.3305886,0.038372495,6.7967E-10
4,M,5,-1,43.48253727,25.52085762,-0.156367905,0
4,M,6,-1,15.54281998,7.867703815,0.008783715,0.024652852
4,M,7,2,27.97146719,6.611874897,-0.133918598,0
4,M,8,0,14.60535868,7.471121835,0.040333415,6.66134E-16
4,M,9,1,17.06615524,4.27630074,-0.053856123,0
4,M,10,-2,24.65289391,7.159752538,-0.035683405,4.20466E-11
4,M,11,2,17.39627349,8.1874105,-0.044942625,0
4,M,12,0,20.41833634,10.79273872,-0.017648032,0.017813029
4,M,13,-1,34.15649425,17.0103254,-0.145561541,0
4,M,14,1,25.24389827,11.4773029,0.031349727,0
4,M,15,-2,47.99196287,19.016285,-0.176669692,0
4,M,16,2,57.1459445,31.50629843,0.066780521,0
4,M,17,0,14.42789174,5.540726815,-0.077376791,0
4,M,18,-1,17.98569379,7.22736917,0.0224458,2.83289E-06
4,M,19,-2,42.25553332,26.61510494,-0.069923471,0
4,M,20,1,41.71110036,21.19645825,-0.078225379,0
4,M,21,-2,21.2015281,7.595668981,-0.045352667,0
4,M,22,-1,18.27888967,9.56356202,-0.051812965,0
4,M,23,0,12.63876238,4.846850949,0.072452066,0
4,M,24,2,29.87940093,6.841370001,0.034733083,1.00847E-06
4,M,25,1,69.49730611,28.82432659,-0.026069482,8.47366E-06
4,M,26,-2,34.87429629,17.7668695,0.048132416,0
4,M,27,-1,28.61468049,14.94605174,-0.08399613,0
4,M,28,0,24.51245012,9.868281918,0.031013505,0.000382336
4,M,29,2,19.59682192,11.45351032,0.02031708,0.000513766
4,M,30,1,15.46433531,5.649283314,-0.010220447,0.004590289
4,M,31,2,22.90377949,10.45051004,0.007048567,0.122373368
4,M,32,-1,19.63598097,9.98227283,-0.061984822,0
4,M,33,-2,125.1559346,89.39833127,-0.36860453,0
4,M,34,0,39.22567252,21.40828212,0.059194953,0
4,M,35,1,58.39369166,33.06613502,0.122476806,0
4,M,36,-2,66.12437885,38.34427708,-0.12091763,0
4,M,37,1,28.5984061,14.82843802,-0.034157879,0
4,M,38,0,26.08662279,15.98152323,-0.011421202,0.001453889
4,M,39,2,24.20792465,8.073221325,0.017492828,0.000198493
4,M,40,-1,31.14687429,18.47027549,-0.015258412,8.63527E-07
4,M,41,1,23.03317061,14.29759846,-0.072481574,0
4,M,42,2,23.13898285,11.60534333,0.028791489,0
4,M,43,-2,42.43165119,24.78754899,-0.168469428,0
4,M,44,-1,42.47814581,25.93545956,0.050642781,0
4,M,45,0,22.78951565,14.8883801,-0.123867919,0
4,M,46,-2,16.18042258,6.156109689,-0.00492225,0.153102265
4,M,47,1,23.70231622,12.40346954,-0.054462151,0
4,M,48,2,25.56449333,18.70150227,0.006112409,0.002297069
4,M,49,0,25.32914824,13.102585,0.001078925,0.751059825
4,M,50,-1,57.48016876,26.34567475,-0.096404826,0
4,M,51,0,19.74570815,6.143975601,-0.078005551,0
4,M,52,2,27.06742336,12.6877967,0.023333266,2.75617E-11
4,M,53,1,43.37439946,32.23661064,0.044269575,0
4,M,54,-2,32.36494847,14.11903071,-0.062760327,0
4,M,55,-1,33.53743379,16.93388537,-0.107561464,0
4,M,56,1,18.687968,8.762588166,0.012492889,0.018444301
4,M,57,-2,13.87916305,5.78889709,0.072344762,0
4,M,58,-1,34.22477989,13.53407531,-0.026730478,0.005826986
4,M,59,0,33.87961837,15.76390562,-0.055725691,0
4,M,60,2,30.20270193,16.61511591,0.169246302,0
4,M,61,1,38.24093419,10.97681766,-0.033736404,4.39206E-06
4,M,62,-2,33.22599897,16.28650325,0.029817399,0
4,M,63,-1,18.11321065,9.329528243,-0.0145952,0.009507114
4,M,64,2,45.5924832,27.25951318,-0.107291562,0
4,M,65,0,22.29152123,14.51120315,0.163251427,0
4,M,66,-1,14.73205673,6.206199546,-0.061804624,0
4,M,67,-2,22.74641846,13.89567556,0.026736834,0
4,M,68,2,19.34067065,13.58765716,-0.007122838,0.00252627
4,M,69,0,21.0646186,9.14934664,-0.030408082,1.84297E-14
4,M,70,1,43.51181087,34.47525367,-0.125261657,0
4,M,71,-1,22.4824448,12.89899708,0.013967382,0.001563783
4,M,72,2,13.34627525,5.491281649,0.020993112,1.37998E-08
4,M,73,-2,54.67111253,14.26251777,-0.046902858,0
4,M,74,1,62.14672589,47.85750507,0.219540248,0
4,M,75,0,11.59850249,5.452302971,0.014630285,0.001179187
4,M,76,-1,38.32265888,12.62712433,0.086710201,0
4,M,77,-2,28.71236182,11.97121364,-0.010227607,0.010371
4,M,78,0,27.94940073,7.861169424,0.137873033,0
4,M,79,2,39.04920939,20.31250492,-0.061256929,0
4,M,80,1,26.12291273,16.06252622,0.098139239,0
4,M,81,0,20.95382781,10.3858334,-0.011451736,2.21926E-06
4,M,82,2,55.11698043,36.5738649,0.140794153,0
4,M,83,1,51.67185284,35.62777321,0.025686564,1.48984E-08
4,M,84,-2,13.75761361,4.580042092,0.032015716,0
4,M,85,-1,30.99084372,19.98459528,-0.050986913,0
4,M,86,2,20.50478262,6.809549727,-0.03431016,4.97469E-12
4,M,87,1,15.71632119,6.504687924,-0.00227094,0.64283384
4,M,88,-1,15.85366155,6.054580721,-0.049120438,0
4,M,89,0,24.81147225,6.762014645,0.029221892,3.31326E-09
4,M,90,-2,71.08233952,61.92251807,0.173048592,0
4,M,91,0,11.94018737,3.803654881,0.013488928,7.04228E-08
4,M,92,1,42.29100976,20.23586637,-0.051937186,0
4,M,93,-2,14.20162986,3.767939614,-0.047580635,0
4,M,94,-1,50.34560792,27.9258609,-0.198435535,0
4,M,95,2,31.78408127,17.64560566,-0.037179383,0
4,M,96,0,33.39713491,17.5045998,-0.03595109,4.44089E-16
4,M,97,-2,17.876257,4.581202798,0.032923709,0
4,M,98,1,25.31709264,18.87822671,-0.039973651,1.95399E-14
4,M,99,-1,18.23630252,7.968455882,0.018464824,1.41094E-06
4,M,100,2,15.97568545,5.842279532,0.037474181,0
4,M,101,-1,24.98508244,9.577526136,-0.019170599,2.52234E-06
4,M,102,2,16.03337725,5.659765918,0.027520697,4.59651E-07
4,M,103,-2,24.45090998,12.69362227,-0.024011338,1.22892E-08
4,M,104,1,15.41732636,6.383842094,-0.078527748,0
4,M,105,0,32.51260956,9.395764,0.099740576,0
4,M,106,-1,30.39159136,13.19601404,-0.01368781,0.023345615
4,M,107,0,82.08843572,56.67096009,-0.045220049,5.32907E-15
4,M,108,-2,18.07611177,6.882523375,0.093619503,0
4,M,109,1,18.46632437,7.809822847,-0.081910681,0
4,M,110,2,41.86625232,17.30065937,-0.024265439,1.78544E-09
4,M,111,-1,34.31737812,20.63512636,0.130290344,0
4,M,112,0,49.65581949,22.72222076,-0.04857949,1.96821E-09
4,M,113,1,49.19475512,38.12631672,-0.14318581,0
4,M,114,-2,27.35379866,21.4457743,-0.0288532,2.22045E-16
4,M,115,2,35.34302286,17.33115743,-0.027008755,0.000136487
4,M,116,-2,32.38151863,18.49727718,-0.019879379,4.41895E-11
4,M,117,2,23.17050366,10.66775789,0.042716318,0
4,M,118,0,46.97952065,24.07994919,0.038483573,0
4,M,119,1,36.37468618,24.7487907,-0.036234396,0
4,M,120,-1,19.0474371,9.225004709,0.059119222,0
4,M,121,1,10.47732244,3.498875622,0.021056419,7.39895E-11
4,M,122,-1,24.70948172,9.491549411,0.013972573,0.004210769
4,M,123,-2,22.61506308,8.11793489,-0.031778318,6.66134E-16
4,M,124,0,26.68590649,13.68460736,0.101660922,0
4,M,125,2,20.14041202,12.72482345,0.005259236,0.060230573
4,M,126,2,47.0932237,38.13619184,-0.146243096,0
4,M,127,-1,60.76320537,31.88008564,0.020224827,1.51013E-08
4,M,128,0,33.06321958,20.59722699,0.046054387,0
4,M,129,1,11.75450434,4.084150263,-0.005891528,0.000636973
4,M,130,-2,28.85184655,9.908264996,0.074592128,0
4,M,131,0,20.80985471,10.20955301,-0.032062613,0
4,M,132,-1,11.71249902,4.695518378,0.061843095,0
4,M,133,-2,37.57962152,17.30040337,-0.017813525,0.001711487
4,M,134,2,14.55209872,5.239557312,0.017716631,5.47218E-11
4,M,135,1,96.88547514,73.19289304,-0.208612242,0
4,M,136,0,36.6351127,26.72864394,-0.090938325,0
4,M,137,1,21.39610767,8.000004383,-0.024762942,4.81837E-14
4,M,138,-2,41.06017709,28.727901,-0.065394597,0
4,M,139,2,16.60672998,9.461598508,-0.072521951,0
4,M,140,-1,44.00873234,33.96516692,-0.117671551,0
4,M,141,-1,31.61724286,21.18982799,0.155539744,0
4,M,142,1,31.26506569,23.78639949,-0.040654797,0
4,M,143,-2,30.44893111,25.03149375,-0.058452139,0
4,M,144,0,30.71657784,20.91278991,0.069103324,0
4,M,145,2,13.27246835,4.798000353,-0.08924998,0
4,M,146,1,40.85320878,33.26693035,-0.096786764,0
4,M,147,0,24.77256709,16.77336165,0.042851361,4.44089E-16
4,M,148,-2,8.553709388,3.78271887,-0.022262436,0
4,M,149,-1,17.26362217,4.862240633,0.032938025,1.42997E-13
4,M,150,2,23.83452465,7.28190362,-0.044556123,0
5,F,1,2,23.09347119,10.07946122,0.029957905,8.33644E-08
5,F,2,-1,36.08992942,19.30486774,0.031650763,4.37722E-08
5,F,3,-2,31.41426514,12.58239249,-0.077626967,0
5,F,4,1,48.16855396,27.37438663,0.04160183,0.002284759
5,F,5,1,59.42464738,20.1731161,0.163570022,0
5,F,6,0,56.32263684,30.63339834,-0.014189063,0.056143526
5,F,7,-1,30.48537846,8.38787773,0.102507576,0
