"subject","gender","trial","duration","intensity","pitch","delay","video","stimulus","syllables","speech_rate"
1,"m",70,3.063622,71.87490046,100.1781222,0,0,3,15,4.89616538854989
1,"m",71,9.83209,71.23118931,101.5279403,200,1,1,18,1.83073995457731
1,"m",72,10.295197,67.22144555,104.348045,200,1,5,15,1.45699008965054
1,"m",73,3.24174,67.26934631,100.9058567,0,1,10,17,5.24409730576789
1,"m",74,3.24174,66.30207281,98.17402754,0,0,1,18,5.55257361787188
1,"m",75,3.740469,66.64527291,103.2706496,0,1,4,17,4.54488461206335
1,"m",76,9.974584,68.06401082,96.73190942,200,0,8,18,1.8045865371428
1,"m",77,2.814258,65.69791717,96.52599414,0,0,10,17,6.0406686238433
1,"m",78,3.348611,64.95808656,105.6767547,0,0,4,17,5.07673181507198
1,"m",79,8.620891,66.62418669,106.4299272,200,0,5,15,1.73995936150915
1,"m",80,10.259573,67.91003294,99.20994891,200,0,10,17,1.65698903843269
2,"f",1,3.348611,65.75141233,221.1439068,0,1,8,18,5.37536309831151
2,"f",2,3.918587,67.55187447,224.2327402,200,0,5,15,3.82791041770924
2,"f",3,3.277364,67.71034954,223.5579678,0,0,8,18,5.49221874652922
2,"f",4,3.526728,65.515446,216.1585877,0,1,4,17,4.82033204715532
2,"f",5,3.189677,67.12120608,217.5898612,0,1,1,18,5.64320462542132
2,"f",6,3.526729,65.98271321,217.5745095,0,0,4,17,4.82033068035565
2,"f",7,3.24174,66.17076376,224.1191293,0,1,7,17,5.24409730576789
2,"f",8,3.24174,67.92995387,227.5325284,0,0,9,18,5.55257361787188
2,"f",9,4.452939,69.55497267,224.0611291,200,0,8,18,4.04227410256462
2,"f",10,4.809175,67.44341549,216.785566,200,0,1,18,3.74284570638415
2,"f",11,4.844798,68.84122308,220.0511483,200,1,4,17,3.50891822527998
2,"f",12,3.063622,67.99936366,222.1662106,0,1,9,18,5.87539846625987
2,"f",13,4.025457,69.82081132,208.8174988,200,1,3,15,3.72628499074763
2,"f",14,3.526728,65.88633926,210.5939191,0,0,6,15,4.2532341592547
2,"f",15,3.633598,69.2349022,212.5130081,200,0,2,15,4.12813965661584
2,"f",16,2.956751,68.4543054,206.8260787,0,1,6,15,5.07313601990834
2,"f",17,3.312987,65.13982261,224.6621045,0,0,10,17,5.13132107068334
2,"f",18,3.95421,69.17104943,218.5413653,200,1,5,15,3.79342523538204
2,"f",19,2.743011,68.70341306,212.148203,0,0,3,15,5.46844325451119
2,"f",20,3.491104,63.69668235,217.1210639,0,1,2,15,4.29663510454
2,"f",21,4.132328,68.76159282,224.8499451,200,1,7,17,4.11390383338399
2,"f",22,4.417316,69.30152974,220.6967237,200,1,8,18,4.07487261495442
2,"f",23,3.882963,69.85874468,212.5981545,200,0,6,15,3.86302934125306
2,"f",24,2.885505,67.53480352,215.7681407,0,0,2,15,5.19839681442243
2,"f",25,4.951669,70.15683796,226.6151957,200,1,10,17,3.43318586117125
2,"f",26,2.814257,66.89653958,222.1234979,0,1,5,15,5.33000362084913
2,"f",27,5.236657,66.0399023,221.8406252,200,0,7,17,3.24634590350294
2,"f",28,3.277363,68.10248465,220.260346,0,0,1,18,5.49222042233344
2,"f",29,4.524186,69.96350195,219.6505986,200,0,4,17,3.75758202691048
2,"f",30,4.452939,70.15029266,219.3305151,200,0,9,18,4.04227410256462
2,"f",31,2.885505,68.42415909,216.3620213,0,0,5,15,5.19839681442243
2,"f",32,3.277364,66.86239409,227.3599357,0,1,10,17,5.18709548283316
2,"f",33,2.885504,68.97101277,205.2227568,0,1,3,15,5.19839861597835
2,"f",34,4.488563,69.25228261,215.9917696,200,1,1,18,4.01019212607688
2,"f",35,4.737928,69.00509648,223.0151891,200,0,10,17,3.58806634461309
2,"f",36,4.096705,70.7649324,210.8947623,200,1,6,15,3.66147916435282
2,"f",37,4.132328,69.86026655,218.1695334,200,1,9,18,4.35589817652423
2,"f",38,4.381692,69.71987334,210.4527539,200,0,3,15,3.4233350952098
2,"f",39,3.027999,66.94161646,218.0267651,0,0,7,17,5.61426869691833
2,"f",40,5.557268,62.1861268,215.0321929,200,1,2,15,2.69916800845307
2,"f",41,4.381692,69.2737701,226.9373173,200,0,7,17,3.8797797745711
2,"f",42,4.916046,67.35611001,222.9194243,200,1,5,15,3.05123263696068
2,"f",43,2.992376,67.23176082,220.3668942,0,0,10,17,5.68110424625782
2,"f",44,2.921128,66.7215472,216.0385211,0,0,5,15,5.13500264281469
2,"f",45,3.95421,63.4973268,221.733395,0,0,4,17,4.29921526676631
2,"f",46,2.814258,66.48273064,209.303467,0,1,2,15,5.33000172692056
2,"f",47,4.096705,68.25253064,205.8519633,200,1,2,15,3.66147916435282
2,"f",48,3.776092,69.2749998,214.5335101,200,0,3,15,3.97236084290319
2,"f",49,3.84734,70.16254253,211.1879295,200,1,3,15,3.89879761081682
2,"f",50,4.346069,69.21012721,207.2415548,200,1,4,17,3.91158078714351
2,"f",51,3.134869,68.00385887,213.3833572,0,0,9,18,5.74186672553143
2,"f",52,3.419858,65.79954551,218.280862,0,1,8,18,5.26337643258872
2,"f",53,3.063623,67.75165332,212.1667166,0,1,6,15,4.89616379038805
2,"f",54,2.921128,67.07748557,220.3961551,0,1,5,15,5.13500264281469
2,"f",55,4.203575,69.60263668,215.4327427,200,0,4,17,4.0441766829425
2,"f",56,4.203575,69.64613299,214.0279551,200,1,1,18,4.28206942899794
2,"f",57,3.776093,69.82154488,218.254493,200,0,9,18,4.76683174911211
2,"f",58,3.13487,66.57982322,216.5668275,0,1,7,17,5.42287239981243
2,"f",59,5.094162,69.01573946,224.2753808,200,0,8,18,3.53345653318446
2,"f",60,3.384234,67.4609903,231.5888123,0,0,8,18,5.3187811481121
2,"f",61,3.277363,67.20162209,221.8941279,0,0,1,18,5.49222042233344
2,"f",62,3.277364,67.21073171,230.8823037,0,1,10,17,5.18709548283316
2,"f",63,3.704846,69.77148054,211.0487854,200,0,2,15,4.04875128412895
2,"f",64,3.84734,69.44329109,214.8187061,200,0,5,15,3.89879761081682
2,"f",65,3.206117,66.78877715,222.7057024,0,1,9,18,5.61426797587237
2,"f",66,4.55981,69.46173368,219.6493721,200,1,8,18,3.9475329015902
2,"f",67,3.776093,70.40885468,214.4248901,200,1,6,15,3.97235979092676
2,"f",68,4.310445,69.87679738,216.9521429,200,1,10,17,3.9439083435701
2,"f",69,2.849881,69.36564874,199.9580573,0,0,3,15,5.2633776638393
2,"f",70,3.24174,67.37016292,215.7058504,0,1,1,18,5.55257361787188
2,"f",71,5.592892,66.99938026,218.4931557,200,1,9,18,3.21837074629726
2,"f",72,4.239198,71.41373659,211.3780808,200,0,6,15,3.53840514172728
2,"f",73,3.125816,68.02452603,199.5289827,0,0,6,15,4.7987469511961
2,"f",74,3.669222,65.12023792,214.8103251,0,0,7,17,4.63313476262815
2,"f",75,3.526728,65.21407062,221.1523731,0,1,4,17,4.82033204715532
2,"f",76,2.956752,66.57436919,203.5750319,0,0,2,15,5.07313430412831
2,"f",77,4.524186,69.59900173,217.6018743,200,1,7,17,3.75758202691048
2,"f",78,4.916045,68.15938995,219.0442939,200,0,10,17,3.45806435864603
2,"f",79,2.992375,69.1440121,208.8006586,0,1,3,15,5.01274071598647
2,"f",80,4.417316,69.04479102,208.9468204,200,0,1,18,4.07487261495442
3,"f",1,5.664139,70.4123756,216.4508324,200,0,6,15,2.64824009439034
3,"f",2,6.519104,71.05476276,226.3363607,200,0,10,17,2.60772032475629
3,"f",3,8.229032,69.13736798,219.532049,200,1,9,18,2.1873775676167
3,"f",4,6.590351,71.48920582,218.538408,200,1,7,17,2.5795287686498
3,"f",5,6.305363,71.06222147,211.1144703,200,0,7,17,2.69611757483273
3,"f",6,8.585268,67.49120087,206.3457013,200,1,4,17,1.98013620541607
3,"f",7,3.491105,75.20278912,201.5129442,0,1,3,15,4.29663387380213
3,"f",8,3.063622,73.43640918,199.5861107,0,0,2,15,4.89616538854989
3,"f",9,2.849881,72.68256867,194.7160817,0,1,2,15,5.2633776638393
3,"f",10,6.091622,69.03328106,199.2097861,200,1,10,17,2.79071813713983
3,"f",11,2.956752,72.28742716,208.6183521,0,0,5,15,5.07313430412831
3,"f",12,3.526728,71.47782041,193.7881794,0,1,6,15,4.2532341592547
3,"f",13,7.480938,69.06806403,195.8746674,200,1,8,18,2.40611538285707
3,"f",14,3.027999,71.03064713,193.8946873,0,0,6,15,4.95376649728088
